name-year,pos,name,weight,height,Age,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,year,Player,Current_Sal,Next_Sal,min_sal_curr,min_sal_next,sal_cap_curr,sal_cap_next,height_ft
Mike_Muscala_2016,F-C,Mike-Muscala,240,6-10,25.0,70.0,3.0,17.7,0.504,0.7,0.418,1.6,0.7,0.766,0.9,1.1,3.4,1.4,0.4,0.6,0.8,6.2,14.8,0.596,2016,Mike Muscala,1.2128193295730962,5.672146367553712,875000.0,1313000.0,94143000.0,99093000.0,6.833333333333333
Tony_Snell_2016,G-F,Tony-Snell,213,6-6,25.0,80.0,80.0,29.2,0.455,1.8,0.406,4.4,0.6,0.81,0.7,0.3,3.1,1.2,0.7,0.2,0.7,8.5,12.1,0.603,2016,Tony Snell,2.8279650253125563,11.141716565307338,875000.0,1313000.0,94143000.0,99093000.0,6.5
Patrick_Patterson_2016,F,Patrick-Patterson,235,6-8,27.0,65.0,8.0,24.6,0.401,1.4,0.372,3.9,0.7,0.717,0.9,1.0,4.5,1.2,0.6,0.4,0.6,6.8,12.5,0.542,2016,Patrick Patterson,7.224166427668546,5.889956788067775,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
Thabo_Sefolosha_2016,G-F,Thabo-Sefolosha,215,6-6,32.0,62.0,42.0,25.7,0.441,0.7,0.342,1.9,0.9,0.733,1.2,0.9,4.4,1.7,1.5,0.5,0.9,7.2,13.3,0.519,2016,Thabo Sefolosha,4.776308381929617,5.9557536859313975,875000.0,1313000.0,94143000.0,99093000.0,6.5
Zach_Randolph_2016,F-C,Zach-Randolph,250,6-9,35.0,73.0,5.0,24.5,0.449,0.3,0.223,1.3,1.9,0.731,2.6,2.5,8.2,1.7,0.5,0.1,1.4,14.1,29.2,0.49,2016,Zach Randolph,11.940770954824043,13.962206094153975,875000.0,1313000.0,94143000.0,99093000.0,6.75
Nick_Young_2016,G-F,Nick-Young,210,6-7,31.0,60.0,60.0,25.9,0.43,2.8,0.404,7.0,1.3,0.856,1.5,0.4,2.3,1.0,0.6,0.2,0.6,13.2,19.5,0.588,2016,Nick Young,6.50045779348438,5.889956788067775,875000.0,1313000.0,94143000.0,99093000.0,6.583333333333333
Tony_Allen_2016,G-F,Tony-Allen,213,6-4,35.0,71.0,66.0,27.0,0.461,0.2,0.278,0.8,1.1,0.615,1.8,2.3,5.5,1.4,1.6,0.4,1.4,9.1,17.9,0.493,2016,Tony Allen,5.970385477412021,1.669178813316783,875000.0,1313000.0,94143000.0,99093000.0,6.333333333333333
Luc_Mbah_a_Moute_2016,F,Luc-Mbah-a-Moute,230,6-8,30.0,80.0,76.0,22.3,0.505,0.5,0.391,1.4,0.7,0.678,1.1,0.6,2.1,0.5,1.0,0.4,0.6,6.1,11.6,0.581,2016,Luc Mbah a Moute,2.630551841347737,2.401535722704934,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
Aron_Baynes_2016,C,Aron-Baynes,260,6-10,30.0,75.0,2.0,15.5,0.513,0.0,0.0,0.0,1.1,0.84,1.3,1.5,4.4,0.4,0.2,0.5,0.7,4.9,14.1,0.57,2016,Aron Baynes,7.761501120635629,4.878045876096193,875000.0,1313000.0,94143000.0,99093000.0,6.833333333333333
Dante_Cunningham_2016,F,Dante-Cunningham,230,6-8,29.0,66.0,35.0,25.0,0.485,1.1,0.392,2.7,0.2,0.593,0.4,0.8,4.2,0.6,0.6,0.4,0.4,6.6,10.7,0.586,2016,Dante Cunningham,3.5822312864472137,2.609187329074708,875000.0,1313000.0,94143000.0,99093000.0,6.666666666666667
