Name,Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GS/G,G/MaxG,MP_sq,PTS_sq,Market_Val,Current_Sal
joshchristopher,Josh Christopher,89,SG,20,HOU,20,0,11.1,2.0,4.1,0.476,0.6,1.5,0.414,1.4,2.7,0.509,0.549,0.7,1.0,0.684,0.5,0.9,1.4,1.2,0.6,0.1,1.0,0.9,5.2,0.0,0.6666666666666666,123.21,27.040000000000003,1.7418610408315836,2.25924
garyclark,Gary Clark,90,F,27,NOP,1,0,3.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,9.0,0.0,4.867615656758559,3.382007
brandonclarke,Brandon Clarke,91,PF,25,MEM,19,0,16.0,3.4,5.5,0.61,0.1,0.6,0.091,3.3,4.9,0.67,0.614,0.9,1.4,0.667,1.7,2.6,4.4,1.4,0.4,0.9,0.4,1.7,7.7,0.0,0.6333333333333333,256.0,59.290000000000006,5.722668272478337,2.72688
jordanclarkson,Jordan Clarkson,92,SG,29,UTA,27,0,25.0,5.3,14.0,0.381,2.7,8.7,0.305,2.7,5.3,0.507,0.476,1.5,1.9,0.82,0.7,2.5,3.1,2.1,0.6,0.2,1.2,1.6,14.9,0.0,0.9,625.0,222.01000000000002,12.000891133377412,12.42
nicolasclaxton,Nicolas Claxton,93,C,22,BRK,10,5,18.2,2.7,4.4,0.614,0.0,0.0,0.0,2.7,4.4,0.614,0.614,0.8,1.6,0.5,1.3,3.5,4.8,0.5,0.2,0.8,0.7,2.0,6.2,0.5,0.3333333333333333,331.23999999999995,38.440000000000005,3.278432683645216,1.782621
amircoffey,Amir Coffey,94,SG,24,LAC,17,3,12.5,0.8,2.4,0.341,0.6,1.8,0.333,0.2,0.6,0.364,0.463,1.1,1.2,0.857,0.2,1.4,1.6,0.6,0.1,0.1,0.3,0.8,3.3,0.17647058823529413,0.5666666666666667,156.25,10.889999999999999,2.287818460121458,
johncollins,John Collins,95,PF,24,ATL,28,28,32.4,6.5,11.7,0.557,1.3,3.1,0.402,5.3,8.6,0.613,0.61,2.9,3.6,0.784,1.7,6.1,7.8,2.1,0.7,1.3,1.0,3.0,17.1,1.0,0.9333333333333333,1049.76,292.41,20.41694676784948,23.0
mikeconley,Mike Conley,96,PG,34,UTA,25,25,27.8,4.9,10.0,0.49,2.5,5.5,0.457,2.4,4.5,0.531,0.616,1.2,1.4,0.833,0.4,1.7,2.1,5.4,1.2,0.3,1.8,2.0,13.6,1.0,0.8333333333333334,772.84,184.95999999999998,15.466094167962886,21.0
patconnaughton,Pat Connaughton,97,SG,29,MIL,30,11,28.9,4.5,8.8,0.506,2.7,6.3,0.434,1.7,2.5,0.684,0.66,0.8,1.1,0.781,0.8,3.9,4.7,1.3,1.0,0.3,0.7,1.5,12.5,0.36666666666666664,1.0,835.2099999999999,156.25,12.480859662737377,5.333333
tylercook,Tyler Cook,98,PF,24,CHI,2,0,8.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,3.0,0.0,0.06666666666666667,72.25,9.0,2.890699764027104,
