Player,Name,Salary
tonybradley,Tony Bradley,"$1,789,256"
frankntilikina,Frank Ntilikina,"$1,789,256"
malikmonk,Malik Monk,"$1,789,256"
semiojeleye,Semi Ojeleye,"$1,789,256"
dennissmith,Dennis Smith,"$1,789,256"
didilouzada,Didi Louzada,"$1,786,878"
kevinporter,Kevin Porter,"$1,782,621"
jalenmcdaniels,Jalen McDaniels,"$1,782,621"
terancemann,Terance Mann,"$1,782,621"
jaylennowell,Jaylen Nowell,"$1,782,621"
nazreid,Naz Reid,"$1,782,621"
isaiahroby,Isaiah Roby,"$1,782,621"
danielgafford,Daniel Gafford,"$1,782,621"
brunofernando,Bruno Fernando,"$1,782,621"
nicolasclaxton,Nicolas Claxton,"$1,782,621"
codymartin,Cody Martin,"$1,782,621"
deanwade,Dean Wade,"$1,782,621"
vlatkocancar,Vlatko Cancar,"$1,782,621"
carsenedwards,Carsen Edwards,"$1,782,621"
kzokpala,KZ Okpala,"$1,782,621"
luguentzdort,Luguentz Dort,"$1,782,621"
miyeoni,Miye Oni,"$1,782,621"
ericpaschall,Eric Paschall,"$1,782,621"
dreweubanks,Drew Eubanks,"$1,762,796"
chimeziemetu,Chimezie Metu,"$1,762,796"
yutawatanabe,Yuta Watanabe,"$1,762,796"
alizejohnson,Alize Johnson,"$1,729,217"
thanasisantetokounmpo,Thanasis Antetokounmpo,"$1,729,217"
keitabatesdiop,Keita Bates-Diop,"$1,729,217"
sviatoslavmykhailiuk,Sviatoslav Mykhailiuk,"$1,729,217"
bradwanamaker,Brad Wanamaker,"$1,729,217"
isaiahhartenstein,Isaiah Hartenstein,"$1,729,217"
moritzwagner,Moritz Wagner,"$1,729,217"
isaacbonga,Isaac Bonga,"$1,729,217"
mosesbrown,Moses Brown,"$1,701,593"
juantoscanoanderson,Juan Toscano-Anderson,"$1,701,593"
oshaebrissett,Oshae Brissett,"$1,701,593"
kelanmartin,Kelan Martin,"$1,701,593"
herbjones,Herb Jones,"$1,700,000"
javontegreen,Javonte Green,"$1,669,178"
maxstrus,Max Strus,"$1,669,178"
gabevincent,Gabe Vincent,"$1,669,178"
kevinpangos,Kevin Pangos,"$1,669,178"
deandrebembry,DeAndre Bembry,"$1,669,178"
mattthomas,Matt Thomas,"$1,669,178"
garypaytonii,Gary Payton II,"$1,669,178"
wayneselden,Wayne Selden,"$1,669,178"
vernoncarey,Vernon Carey,"$1,517,981"
nickrichards,Nick Richards,"$1,517,981"
lamarstevens,Lamar Stevens,"$1,517,981"
tyrellterry,Tyrell Terry,"$1,517,981"
kjmartin,KJ Martin,"$1,517,981"
xaviertillman,Xavier Tillman,"$1,517,981"
najimarshall,Naji Marshall,"$1,517,981"
isaiahjoe,Isaiah Joe,"$1,517,981"
paulreed,Paul Reed,"$1,517,981"
robertwoodard,Robert Woodard,"$1,517,981"
trejones,Tre Jones,"$1,517,981"
deividassirvydis,Deividas Sirvydis,"$1,517,981"
jaeseantate,Jae'Sean Tate,"$1,517,981"
sammerrill,Sam Merrill,"$1,517,981"
danieloturu,Daniel Oturu,"$1,517,981"
jordannwora,Jordan Nwora,"$1,517,981"
cjelleby,CJ Elleby,"$1,517,981"
jahmiusramsey,Jahmi'us Ramsey,"$1,517,981"
elijahhughes,Elijah Hughes,"$1,517,981"
anthonygill,Anthony Gill,"$1,517,981"
isaiahtodd,Isaiah Todd,"$1,500,000"
sabenlee,Saben Lee,"$1,489,065"
armonibrooks,Armoni Brooks,"$1,489,065"
omeryurtseven,Omer Yurtseven,"$1,489,065"
jrsmith,JR Smith,"$1,456,667"
garyclark,Gary Clark,"$1,282,008"
jtthor,JT Thor,"$1,250,000"
demarrecarroll,DeMarre Carroll,"$1,242,340"
zhairesmith,Zhaire Smith,"$1,068,200"
jasonpreston,Jason Preston,"$1,062,303"
isaiahlivers,Isaiah Livers,"$1,057,260"
guerschonyabusele,Guerschon Yabusele,"$1,039,080"
kylesingler,Kyle Singler,"$999,200"
bjboston,BJ Boston,"$925,258"
austinreaves,Austin Reaves,"$925,258"
milesmcbride,Miles McBride,"$925,258"
vitkrejci,Vit Krejci,"$925,258"
charlesbassey,Charles Bassey,"$925,258"
gregbrown,Greg Brown,"$925,258"
jocklandale,Jock Landale,"$925,258"
jaredbutler,Jared Butler,"$925,258"
ayodosunmu,Ayo Dosunmu,"$925,258"
markosimonovic,Marko Simonovic,"$925,258"
lukagarza,Luka Garza,"$925,258"
dalanobanton,Dalano Banton,"$925,258"
patrickpatterson,Patrick Patterson,"$737,067"
ishmailwainright,Ishmail Wainright,"$707,311"
shaunlivingston,Shaun Livingston,"$666,666"
sharifecooper,Sharife Cooper,"$462,629"
skylarmays,Skylar Mays,"$462,629"
samhauser,Sam Hauser,"$462,629"
brodricthomas,Brodric Thomas,"$462,629"
davidduke,David Duke,"$462,629"
kessleredwards,Kessler Edwards,"$462,629"
arnoldaskulboka,Arnoldas Kulboka,"$462,629"
scottielewis,Scottie Lewis,"$462,629"
tylercook,Tyler Cook,"$462,629"
devondotson,Devon Dotson,"$462,629"
tackofall,Tacko Fall,"$462,629"
rjnembhard,RJ Nembhard,"$462,629"
jaquorimclaughlin,JaQuori McLaughlin,"$462,629"
eugeneomoruyi,Eugene Omoruyi,"$462,629"
petrcornelie,Petr Cornelie,"$462,629"
markushoward,Markus Howard,"$462,629"
jamorkopickett,Jamorko Pickett,"$462,629"
seanchrissmith,Sean Chris Smith,"$462,629"
chrischiozza,Chris Chiozza,"$462,629"
jeffdowtin,Jeff Dowtin,"$462,629"
garrisonmathews,Garrison Mathews,"$462,629"
daishennix,Daishen Nix,"$462,629"
duanewashingtonjr,Duane Washington Jr,"$462,629"
amircoffey,Amir Coffey,"$462,629"
jayscrubb,Jay Scrubb,"$462,629"
jayhuff,Jay Huff,"$462,629"
yvespons,Yves Pons,"$462,629"
killiantillie,Killian Tillie,"$462,629"
marcusgarrett,Marcus Garrett,"$462,629"
calebmartin,Caleb Martin,"$462,629"
georgioskalaitzakis,Georgios Kalaitzakis,"$462,629"
sandromamukelashvili,Sandro Mamukelashvili,"$462,629"
nathanknight,Nathan Knight,"$462,629"
mckinleywright,McKinley Wright,"$462,629"
josealvarado,Jose Alvarado,"$462,629"
daultonhommes,Daulton Hommes,"$462,629"
jerichosims,Jericho Sims,"$462,629"
paulwatson,Paul Watson,"$462,629"
aaronwiggins,Aaron Wiggins,"$462,629"
ignasbrazdeikis,Ignas Brazdeikis,"$462,629"
aaronhenry,Aaron Henry,"$462,629"
grantriller,Grant Riller,"$462,629"
keljinblevins,Keljin Blevins,"$462,629"
trendonwatford,Trendon Watford,"$462,629"
louisking,Louis King,"$462,629"
neemiasqueta,Neemias Queta,"$462,629"
devontaecacok,Devontae Cacok,"$462,629"
joewieskamp,Joe Wieskamp,"$462,629"
justinchampagnie,Justin Champagnie,"$462,629"
davidjohnson,David Johnson,"$462,629"
malikfitts,Malik Fitts,"$462,629"
trentforrest,Trent Forrest,"$462,629"
joelayayi,Joel Ayayi,"$462,629"
cassiuswinston,Cassius Winston,"$462,629"
mychalmulder,Mychal Mulder,"$444,017"
chaundeebrown,Chaundee Brown,"$385,524"
javontesmart,Ja'Vonte Smart,"$353,619"
samdekker,Sam Dekker,"$350,000"
terrytaylor,Terry Taylor,"$342,984"
jontayporter,Jontay Porter,"$300,000"
admiralschofield,Admiral Schofield,"$300,000"
langstongalloway,Langston Galloway,"$128,709"
troywilliams,Troy Williams,"$122,741"
stanleyjohnson,Stanley Johnson,"$120,083"
dejonjarreau,DeJon Jarreau,"$119,645"
alfonzomckinnie,Alfonzo McKinnie,"$102,831"
mamadidiakite,Mamadi Diakite,"$100,000"
davonreed,Davon Reed,"$93,136"
demetriusjackson,Demetrius Jackson,"$92,857"
justinrobinson,Justin Robinson,"$74,093"
freddiegillespie,Freddie Gillespie,"$50,000"
