Player,Name,Salary
timofeymozgov,Timofey Mozgov,"$5,573,334"
killianhayes,Killian Hayes,"$5,572,680"
mikalbridges,Mikal Bridges,"$5,557,725"
shaigilgeousalexander,Shai Gilgeous-Alexander,"$5,495,532"
jonathankuminga,Jonathan Kuminga,"$5,466,360"
milesbridges,Miles Bridges,"$5,421,493"
jaxsonhayes,Jaxson Hayes,"$5,348,280"
patconnaughton,Pat Connaughton,"$5,333,333"
michaelporterjr,Michael Porter Jr.,"$5,258,735"
ryananderson,Ryan Anderson,"$5,214,584"
hamidoudiallo,Hamidou Diallo,"$5,200,000"
kevonlooney,Kevon Looney,"$5,178,572"
troybrownjr,Troy Brown Jr.,"$5,170,564"
obitoppin,Obi Toppin,"$5,105,160"
franzwagner,Franz Wagner,"$5,007,840"
joshjackson,Josh Jackson,"$5,005,350"
javalemcgee,JaVale McGee,"$5,000,000"
robinlopez,Robin Lopez,"$5,000,000"
kendricknunn,Kendrick Nunn,"$5,000,000"
louwilliams,Lou Williams,"$5,000,000"
luoldeng,Luol Deng,"$4,990,000"
ruihachimura,Rui Hachimura,"$4,916,160"
garretttemple,Garrett Temple,"$4,910,000"
coryjoseph,Cory Joseph,"$7,310,000"
tajgibson,Taj Gibson,"$4,910,000"
torreycraig,Torrey Craig,"$4,878,049"
rajonrondo,Rajon Rondo,"$2,641,691"
brucebrown,Bruce Brown,"$4,736,102"
deniavdija,Deni Avdija,"$4,692,840"
dontedivincenzo,Donte DiVincenzo,"$4,675,830"
camreddish,Cam Reddish,"$4,670,160"
davidnwaba,David Nwaba,"$4,650,000"
furkankorkmaz,Furkan Korkmaz,"$4,629,630"
davionmitchell,Davion Mitchell,"$4,603,320"
brynforbes,Bryn Forbes,"$4,500,000"
jeffgreen,Jeff Green,"$4,500,000"
ishsmith,Ish Smith,"$4,500,000"
jalensmith,Jalen Smith,"$4,458,000"
lonniewalker,Lonnie Walker,"$4,447,896"
cameronjohnson,Cameron Johnson,"$4,437,000"
ziairewilliams,Ziaire Williams,"$4,373,160"
mauriceharkless,Maurice Harkless,"$4,347,600"
bobbyportis,Bobby Portis,"$4,347,600"
jarredvanderbilt,Jarred Vanderbilt,"$4,259,259"
kevinhuerter,Kevin Huerter,"$4,253,357"
devinvassell,Devin Vassell,"$4,235,160"
pjwashington,P.J. Washington,"$4,215,120"
williecauleystein,Willie Cauley-Stein,"$4,200,000"
jamesbouknight,James Bouknight,"$4,154,400"
joshokogie,Josh Okogie,"$4,087,904"
graysonallen,Grayson Allen,"$4,054,695"
tyresehaliburton,Tyrese Haliburton,"$4,023,600"
tylerherro,Tyler Herro,"$4,004,280"
terencedavis,Terence Davis,"$4,000,000"
georgehill,George Hill,"$4,000,000"
dorianfinneysmith,Dorian Finney-Smith,"$4,000,000"
gorguidieng,Gorgui Dieng,"$4,000,000"
aaronholiday,Aaron Holiday,"$3,980,551"
joshuaprimo,Joshua Primo,"$3,946,800"
jakelayman,Jake Layman,"$3,940,184"
anferneesimons,Anfernee Simons,"$3,938,818"
justisewinslow,Justise Winslow,"$3,902,439"
danuelhouse,Danuel House,"$3,894,000"
jevoncarter,Jevon Carter,"$3,833,333"
kiralewisjr,Kira Lewis Jr.,"$3,822,240"
romeolangford,Romeo Langford,"$3,804,360"
facundocampazzo,Facundo Campazzo,"$3,804,150"
landryshamet,Landry Shamet,"$3,768,342"
chrisduarte,Chris Duarte,"$3,749,520"
alexlen,Alex Len,"$3,731,707"
gabrieldeck,Gabriel Deck,"$3,670,000"
robertwilliams,Robert Williams,"$3,661,976"
aaronnesmith,Aaron Nesmith,"$3,631,200"
mosesmoody,Moses Moody,"$3,562,080"
bobanmarjanovic,Boban Marjanović,"$3,500,000"
mikemuscala,Mike Muscala,"$3,500,000"
coleanthony,Cole Anthony,"$3,449,400"
coreykispert,Corey Kispert,"$3,383,640"
treyburke,Trey Burke,"$3,333,333"
georgesniang,Georges Niang,"$3,300,000"
chumaokeke,Chuma Okeke,"$3,277,080"
isaiahstewart,Isaiah Stewart,"$3,277,080"
nickeilalexanderwalker,Nickeil Alexander-Walker,"$3,261,480"
alperensengun,Alperen Şengün,"$3,214,680"
jonleuer,Jon Leuer,"$3,169,347"
aleksejpokusevski,Aleksej Pokusevski,"$3,113,160"
gogabitadze,Goga Bitadze,"$3,098,400"
treymurphyiii,Trey Murphy III,"$3,053,760"
sterlingbrown,Sterling Brown,"$3,000,000"
michaelcarterwilliams,Michael Carter-Williams,"$3,000,000"
frankjackson,Frank Jackson,"$3,000,000"
joshgreen,Josh Green,"$2,957,520"
tremann,Tre Mann,"$2,901,240"
dewaynededmon,Dewayne Dedmon,"$5,256,308"
