Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,22,TOR,21,17,26.5,3.4,8.8,0.386,0.3,1.2,0.269,3.0,7.5,.405,.405,0.9,1.7,0.543,2.3,5.9,8.2,1.6,0.5,0.6,1.1,2.5,8.0
2,Steven Adams,C,28,MEM,29,29,24.9,2.6,4.9,0.535,0.0,0.0,0.0,2.6,4.9,.535,.535,1.8,2.9,0.619,3.9,4.9,8.8,2.6,0.9,0.6,1.8,1.7,7.0
3,Bam Adebayo,C,24,MIA,18,18,32.9,7.0,13.5,0.519,0.0,0.1,0.0,7.0,13.4,.521,.519,4.7,6.2,0.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
4,Santi Aldama,PF,21,MEM,16,0,9.8,1.5,4.1,0.364,0.2,1.7,0.111,1.3,2.4,.538,.386,0.4,0.8,0.583,1.0,1.6,2.6,0.8,0.1,0.2,0.3,1.1,3.6
5,LaMarcus Aldridge,C,36,BRK,25,8,23.6,6.0,10.4,0.573,0.4,1.2,0.367,5.5,9.2,.600,.594,1.6,1.9,0.833,1.4,4.3,5.7,0.9,0.4,1.2,0.8,1.7,14.0
6,Nickeil Alexander-Walker,SG,23,NOP,30,18,28.2,5.0,13.8,0.366,2.0,6.6,0.31,3.0,7.2,.417,.439,1.4,1.9,0.732,1.0,2.9,3.9,2.6,1.0,0.4,1.5,1.9,13.5
7,Grayson Allen,SG,26,MIL,29,29,28.8,4.4,10.1,0.435,2.9,7.0,0.407,1.5,3.0,.500,.577,1.0,1.2,0.857,0.5,3.1,3.6,1.3,0.7,0.3,0.7,1.4,12.7
8,Jarrett Allen,C,23,CLE,27,27,32.7,6.9,9.7,0.703,0.0,0.2,0.167,6.8,9.5,.716,.705,3.1,4.4,0.714,3.3,7.7,11.0,2.0,0.9,1.4,2.0,1.9,16.9
9,Jose Alvarado,PG,23,NOP,8,0,5.1,0.6,1.6,0.385,0.3,0.6,0.4,0.4,1.0,.375,.462,0.3,0.4,0.667,0.3,0.4,0.6,1.1,0.5,0.0,0.1,0.4,1.8
10,Kyle Anderson,PF,28,MEM,25,3,21.8,3.2,7.3,0.443,0.8,2.2,0.357,2.4,5.1,.480,.497,1.1,1.7,0.667,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.4,8.4
11,Giannis Antetokounmpo,PF,27,MIL,26,26,32.7,9.5,18.0,0.529,1.1,3.8,0.28,8.5,14.2,.596,.559,6.9,10.1,0.681,2.0,9.5,11.6,5.8,1.1,1.6,3.3,3.0,27.0
12,Thanasis Antetokounmpo,SF,29,MIL,22,5,12.8,1.5,3.0,0.478,0.0,0.3,0.0,1.5,2.8,.525,.478,0.6,0.9,0.65,1.0,2.0,3.1,0.8,0.5,0.2,0.6,1.7,3.5
13,Carmelo Anthony,PF,37,LAL,29,3,27.6,4.5,10.4,0.43,2.4,5.8,0.413,2.1,4.7,.452,.545,2.0,2.5,0.819,0.8,3.3,4.1,0.9,0.7,0.6,0.8,2.3,13.4
14,Cole Anthony,PG,21,ORL,23,23,34.1,6.9,16.5,0.417,2.8,7.6,0.366,4.1,8.9,.461,.501,3.3,3.8,0.875,0.6,5.5,6.1,5.6,0.8,0.2,3.0,2.5,19.9
15,OG Anunoby,SF,24,TOR,15,15,37.3,7.6,17.7,0.43,2.7,7.5,0.366,4.9,10.2,.477,.508,2.2,2.7,0.825,1.6,3.8,5.4,2.7,1.5,0.6,1.7,2.7,20.1
16,DJ Augustin,PG,34,HOU,24,2,14.3,1.5,3.4,0.451,1.1,2.4,0.456,0.5,1.0,.440,.610,0.8,0.9,0.909,0.1,1.0,1.1,2.5,0.3,0.0,1.3,0.7,5.0
17,Deni Avdija,SF,21,WAS,29,2,21.2,2.4,5.7,0.421,0.8,2.6,0.303,1.6,3.0,.523,.491,0.8,1.2,0.686,0.8,4.0,4.8,1.2,0.6,0.8,0.6,2.1,6.4
18,Joel Ayayi,SG,21,WAS,5,0,2.6,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,0.0
19,Deandre Ayton,C,23,PHO,19,19,31.6,7.6,12.2,0.621,0.1,0.3,0.2,7.5,11.9,.630,.623,1.7,2.7,0.635,3.0,8.2,11.2,1.5,0.8,0.7,1.8,2.4,16.9
20,Udoka Azubuike,C,22,UTA,4,0,2.0,0.3,0.3,1.0,0.0,0.0,0.0,0.3,0.3,1.000,1.000,0.0,0.0,0.766,0.3,0.8,1.0,0.0,0.0,0.0,0.3,0.0,0.5
21,Marvin Bagley III,PF,22,SAC,13,1,19.6,3.2,6.6,0.477,0.6,2.2,0.286,2.5,4.5,.569,.523,1.2,1.8,0.652,2.2,4.5,6.7,0.6,0.2,0.3,0.5,1.2,8.1
22,LaMelo Ball,PG,20,CHO,24,24,33.3,7.3,17.3,0.418,2.9,7.5,0.391,4.3,9.9,.439,.502,2.6,2.9,0.9,1.5,6.2,7.7,8.3,1.9,0.4,3.3,3.1,20.0
23,Lonzo Ball,PG,24,CHI,27,27,35.5,4.6,11.2,0.413,3.1,7.3,0.421,1.6,3.9,.396,.550,0.4,0.6,0.706,1.0,4.5,5.5,4.9,1.7,1.0,2.5,2.3,12.8
24,Mo Bamba,C,23,ORL,27,27,28.7,4.2,9.1,0.457,1.3,4.0,0.324,2.9,5.1,.561,.528,0.7,0.9,0.72,2.3,6.3,8.6,1.7,0.7,2.2,1.4,2.6,10.3
25,Desmond Bane,SF,23,MEM,29,29,28.9,6.2,13.3,0.465,2.7,6.5,0.407,3.5,6.8,.520,.565,1.2,1.3,0.923,0.5,3.9,4.4,2.3,0.9,0.4,1.4,2.5,16.2
26,Dalano Banton,SF,22,TOR,27,0,12.7,1.6,3.6,0.458,0.2,0.7,0.3,1.4,2.8,.500,.490,0.7,0.9,0.75,0.7,1.7,2.3,1.8,0.4,0.2,1.0,1.4,4.1
27,Harrison Barnes,PF,29,SAC,24,24,33.3,5.3,11.6,0.459,1.8,4.7,0.381,3.5,6.9,.512,.536,5.0,5.9,0.845,1.3,5.3,6.6,2.4,0.9,0.1,1.9,1.3,17.5
28,Scottie Barnes,PF,20,TOR,26,26,36.2,6.2,12.8,0.488,0.8,2.2,0.368,5.4,10.6,.513,.520,2.2,3.0,0.727,3.0,5.3,8.3,3.3,1.1,1.0,1.9,2.8,15.4
29,RJ Barrett,SF,21,NYK,25,25,31.4,5.4,13.3,0.402,1.9,5.3,0.353,3.5,8.0,.435,.473,2.5,3.4,0.733,0.8,4.8,5.6,2.1,0.4,0.3,1.7,2.0,15.1
30,Will Barton,SG,31,DEN,24,24,33.3,6.2,14.0,0.443,2.5,6.5,0.382,3.7,7.5,.497,.533,1.1,1.5,0.743,0.6,4.4,5.0,4.2,0.9,0.4,1.8,1.4,16.0
31,Charles Bassey,PF,21,PHI,12,0,9.0,1.7,2.5,0.667,0.0,0.3,0.0,1.7,2.3,.741,.667,0.5,0.8,0.667,1.0,2.3,3.3,0.2,0.2,1.0,0.3,1.4,3.8
32,Keita Bates-Diop,SF,26,SAS,21,5,14.4,1.5,3.3,0.457,0.1,0.7,0.2,1.4,2.6,.527,.479,0.6,0.9,0.667,1.0,2.5,3.5,0.5,0.5,0.3,0.8,0.9,3.8
33,Nicolas Batum,PF,33,LAC,15,14,26.7,3.3,6.5,0.515,2.1,4.9,0.432,1.2,1.5,.783,.680,0.3,0.7,0.5,0.5,4.7,5.2,1.5,1.1,0.8,0.8,1.1,9.1
34,Kent Bazemore,SF,32,LAL,20,13,18.5,1.4,4.4,0.322,0.7,2.3,0.311,0.7,2.1,.333,.402,0.5,0.7,0.769,0.3,1.6,1.9,0.8,0.9,0.3,0.4,2.2,4.0
35,Darius Bazley,PF,21,OKC,27,27,27.4,3.2,8.6,0.373,1.0,3.6,0.281,2.2,5.1,.438,.431,1.1,1.7,0.63,0.9,5.4,6.3,1.3,0.9,1.1,1.4,1.0,8.5
36,Bradley Beal,SG,28,WAS,26,26,36.0,8.8,19.7,0.446,1.5,5.5,0.271,7.3,14.1,.515,.484,3.6,4.4,0.825,1.0,3.7,4.7,5.8,0.8,0.3,3.4,2.3,22.7
37,Malik Beasley,SG,25,MIN,28,0,25.6,3.9,10.7,0.361,2.6,7.8,0.341,1.2,2.9,.415,.485,0.6,0.8,0.739,0.4,2.8,3.2,1.6,0.6,0.2,0.7,1.2,11.0
38,DeAndre' Bembry,SF,27,BRK,26,11,19.6,2.4,4.3,0.568,0.3,0.8,0.409,2.1,3.4,.607,.608,0.4,0.8,0.476,0.7,2.5,3.3,1.1,0.9,0.5,0.7,2.3,5.6
39,Davis Bertans,PF,29,WAS,19,0,16.5,1.8,5.5,0.333,1.3,4.4,0.298,0.5,1.1,.476,.452,1.1,1.2,0.913,0.2,1.6,1.8,0.5,0.4,0.2,0.4,1.7,6.1
40,Patrick Beverley,PG,33,MIN,20,16,26.1,3.3,7.2,0.458,1.3,3.7,0.342,2.1,3.6,.577,.545,0.8,1.2,0.667,1.3,2.8,4.1,4.7,0.9,0.9,1.2,3.0,8.7
41,Saddiq Bey,SF,22,DET,26,26,31.7,4.3,12.6,0.345,1.8,6.1,0.296,2.5,6.5,.391,.416,1.4,1.9,0.735,1.8,4.0,5.8,2.3,1.0,0.2,1.4,1.7,11.9
42,Khem Birch,C,29,TOR,15,3,22.9,2.7,5.3,0.5,0.0,0.4,0.0,2.7,4.9,.541,.500,1.6,2.2,0.727,3.2,2.5,5.7,1.3,1.0,0.5,0.6,1.8,6.9
43,Goga Bitadze,C,22,IND,17,0,8.4,0.9,2.9,0.3,0.2,1.5,0.16,0.6,1.5,.440,.340,0.6,1.0,0.647,1.1,1.3,2.4,0.2,0.5,0.6,0.4,1.6,2.6
44,Nemanja Bjelica,C,33,GSW,28,0,14.3,2.4,5.0,0.479,1.0,2.5,0.4,1.4,2.5,.557,.579,0.8,1.2,0.667,0.9,3.0,3.9,1.6,0.7,0.3,1.1,1.5,6.6
45,Eric Bledsoe,PG,32,LAC,29,22,26.4,3.5,8.3,0.425,0.9,2.9,0.318,2.6,5.3,.484,.481,1.6,2.0,0.763,0.7,3.2,3.8,3.7,1.3,0.4,2.0,1.6,9.5
46,Keljin Blevins,SF,26,POR,3,0,4.7,0.7,1.3,0.5,0.7,1.0,0.667,0.0,0.3,.000,.750,0.0,0.0,0.766,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,2.0
47,Bogdan Bogdanovic,SG,29,ATL,20,20,28.2,4.5,10.0,0.447,2.2,5.5,0.391,2.3,4.5,.517,.555,0.6,0.7,0.786,0.4,3.2,3.6,2.5,0.7,0.2,0.9,1.9,11.6
48,Bojan Bogdanovic,PF,32,UTA,27,27,29.7,5.7,12.0,0.474,2.6,6.1,0.422,3.1,5.9,.528,.582,3.0,3.2,0.92,0.7,3.0,3.8,1.7,0.5,0.0,1.4,1.4,17.0
49,Bol Bol,PF,22,DEN,11,0,4.6,0.6,1.5,0.438,0.0,0.3,0.0,0.6,1.2,.538,.438,0.1,0.3,0.333,0.2,1.1,1.3,0.4,0.1,0.2,0.0,0.3,1.4
50,Leandro Bolmaro,SF,21,MIN,17,1,9.2,0.5,1.8,0.267,0.1,0.6,0.1,0.4,1.2,.350,.283,0.5,0.5,0.889,0.8,1.1,1.8,0.5,0.3,0.0,0.5,1.1,1.5
51,Isaac Bonga,SF,22,TOR,10,0,5.4,0.3,1.2,0.25,0.1,0.3,0.333,0.2,0.9,.222,.292,0.4,0.6,0.667,0.4,0.2,0.6,0.3,0.4,0.2,0.1,0.8,1.1
52,Devin Booker,SG,25,PHO,21,21,32.2,8.6,18.7,0.458,2.4,5.9,0.403,6.2,12.8,.483,.522,3.7,4.3,0.857,0.9,4.0,4.9,4.5,0.9,0.2,2.7,2.3,23.2
53,Brandon Boston Jr,SG,20,LAC,16,0,12.6,1.9,4.9,0.392,0.8,2.2,0.343,1.2,2.8,.432,.468,1.1,1.3,0.857,0.1,1.5,1.6,0.4,0.6,0.2,0.7,0.9,5.8
54,Chris Boucher,PF,29,TOR,26,4,15.6,2.8,6.5,0.429,0.5,2.5,0.212,2.2,3.9,.569,.470,1.2,1.7,0.721,1.6,2.9,4.5,0.3,0.4,0.9,0.7,1.7,7.3
55,James Bouknight,SG,21,CHO,13,0,7.9,1.4,3.7,0.375,0.7,1.5,0.474,0.7,2.2,.310,.469,0.5,0.6,0.875,0.9,0.7,1.6,0.4,0.1,0.0,0.4,0.5,4.0
56,Avery Bradley,SG,31,LAL,26,21,23.0,2.2,5.5,0.406,1.3,3.3,0.4,0.9,2.2,.414,.524,0.1,0.1,1.0,0.5,2.1,2.5,0.8,0.8,0.2,0.5,1.6,5.8
57,Tony Bradley,C,24,CHI,21,7,12.6,1.6,2.9,0.557,0.0,0.0,0.0,1.6,2.9,.557,.557,0.2,0.3,0.714,1.5,3.0,4.5,0.5,0.0,0.6,0.7,1.3,3.5
58,Ignas Brazdeikis,SF,23,ORL,13,0,8.5,0.6,2.4,0.258,0.2,1.4,0.167,0.4,1.0,.385,.306,0.4,0.5,0.833,0.4,1.0,1.4,0.5,0.2,0.0,0.2,1.0,1.8
59,Mikal Bridges,SF,25,PHO,27,27,34.6,4.9,9.2,0.536,1.3,3.2,0.407,3.6,6.0,.605,.607,1.0,1.2,0.875,1.0,3.0,3.9,1.8,1.4,0.5,0.8,2.2,12.2
60,Miles Bridges,PF,23,CHO,30,30,36.6,7.4,15.7,0.47,2.0,6.1,0.328,5.4,9.6,.561,.534,3.1,4.0,0.76,1.3,6.0,7.3,3.6,1.1,0.9,1.9,2.7,19.8
61,Oshae Brissett,SF,23,IND,19,0,15.5,2.1,4.5,0.459,0.8,2.3,0.372,1.2,2.2,.548,.553,0.2,0.6,0.273,0.7,2.4,3.1,0.5,0.6,0.2,0.8,1.2,5.1
62,Malcolm Brogdon,PG,29,IND,25,25,35.3,7.0,15.5,0.448,1.8,5.9,0.313,5.1,9.6,.531,.508,4.0,4.6,0.861,0.9,4.6,5.5,6.2,0.9,0.4,2.3,2.2,19.7
63,Armoni Brooks,SG,23,HOU,24,4,16.1,2.3,6.2,0.372,1.7,5.0,0.331,0.6,1.1,.556,.507,0.5,0.6,0.867,0.3,1.7,2.0,1.3,0.6,0.2,0.5,1.5,6.8
64,Dillon Brooks,SF,26,MEM,15,14,27.8,6.6,15.8,0.418,1.6,4.9,0.324,5.0,10.9,.460,.468,3.5,4.0,0.883,0.7,2.9,3.5,2.9,1.2,0.1,2.1,3.4,18.3
65,Bruce Brown,SF,25,BRK,24,14,22.5,3.0,6.4,0.468,0.3,1.0,0.32,2.7,5.4,.496,.494,0.5,0.7,0.765,1.4,2.9,4.3,1.1,1.3,0.4,0.6,2.5,6.9
66,Greg Brown III,SF,20,POR,11,0,4.6,0.6,1.8,0.35,0.0,0.4,0.0,0.6,1.5,.438,.350,0.2,0.6,0.286,0.5,0.8,1.3,0.5,0.2,0.4,0.2,0.6,1.5
67,Jaylen Brown,SF,25,BOS,14,14,32.6,7.6,16.5,0.463,2.4,6.6,0.37,5.2,9.9,.525,.537,3.5,4.5,0.778,0.4,4.7,5.1,2.4,1.1,0.5,2.4,2.6,21.2
68,Moses Brown,C,22,DAL,14,1,6.3,1.0,1.6,0.636,0.0,0.0,0.0,1.0,1.6,.636,.636,1.4,2.1,0.69,0.7,1.4,2.1,0.0,0.2,0.4,0.4,1.0,3.4
69,Sterling Brown,SG,26,DAL,20,0,12.8,1.1,3.1,0.355,0.6,2.0,0.275,0.6,1.1,.500,.444,0.2,0.2,1.0,0.7,2.5,3.2,0.8,0.5,0.2,0.7,1.2,3.0
70,Troy Brown Jr,SF,22,CHI,18,1,12.8,1.7,4.1,0.411,0.4,1.7,0.267,1.2,2.4,.512,.466,0.6,0.8,0.714,0.4,2.1,2.5,0.8,0.3,0.1,0.4,0.8,4.3
71,Jalen Brunson,PG,25,DAL,27,9,29.4,5.9,11.8,0.497,1.0,3.0,0.325,4.9,8.8,.555,.538,2.1,2.7,0.77,0.6,3.4,4.0,5.0,0.8,0.0,1.4,1.9,14.8
72,Reggie Bullock,SF,30,DAL,27,11,23.9,2.1,5.9,0.354,1.2,4.3,0.274,0.9,1.5,.585,.456,0.3,0.4,0.727,0.2,2.5,2.7,0.9,0.3,0.1,0.6,1.4,5.6
73,Trey Burke,PG,29,DAL,16,0,12.7,2.9,6.4,0.461,0.9,2.4,0.395,2.0,4.0,.500,.534,0.9,0.9,0.933,0.1,1.0,1.1,1.9,0.4,0.0,0.9,0.8,7.7
74,Alec Burks,SG,30,NYK,27,8,25.8,3.5,8.9,0.396,2.0,4.9,0.398,1.6,4.0,.393,.506,2.4,3.0,0.825,0.4,3.4,3.7,2.1,1.2,0.3,0.8,2.2,11.4
75,Jared Butler,SG,21,UTA,17,0,4.3,0.6,1.9,0.344,0.4,1.1,0.316,0.3,0.8,.385,.438,0.2,0.4,0.571,0.0,0.7,0.7,0.6,0.1,0.4,0.5,0.9,1.9
76,Jimmy Butler,SF,32,MIA,18,18,33.7,7.7,15.2,0.509,0.3,1.7,0.194,7.4,13.4,.550,.520,7.1,8.3,0.852,1.6,4.2,5.8,5.2,2.2,0.3,1.9,1.6,22.8
77,Devontae Cacok,PF,25,SAS,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.000,1.000,0.0,0.0,0.766,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0
78,Kentavious Caldwell-Pope,SG,28,WAS,29,29,29.1,3.9,9.4,0.418,2.0,5.2,0.387,1.9,4.2,.455,.524,1.2,1.3,0.895,0.6,3.0,3.6,1.7,1.3,0.4,1.2,1.9,11.0
79,Facundo Campazzo,PG,30,DEN,27,0,20.3,2.0,5.1,0.396,1.2,3.3,0.356,0.9,1.8,.469,.511,0.9,1.0,0.857,0.4,1.4,1.8,3.1,1.0,0.3,1.0,1.9,6.1
80,Vlatko Cancar,PF,24,DEN,8,0,7.3,0.8,2.0,0.375,0.5,0.6,0.8,0.3,1.4,.182,.500,0.6,0.8,0.833,0.1,1.0,1.1,0.8,0.3,0.1,0.4,0.6,2.6
81,Clint Capela,C,27,ATL,28,28,30.0,5.1,8.9,0.57,0.0,0.0,0.0,5.1,8.9,.573,.570,1.2,2.4,0.515,4.0,8.9,12.9,1.4,0.9,1.5,0.6,2.4,11.4
82,Vernon Carey Jr,C,20,CHO,2,1,6.0,1.5,3.0,0.5,0.0,0.0,0.0,1.5,3.0,.500,.500,0.5,0.5,1.0,1.0,0.5,1.5,0.0,0.5,0.0,0.5,0.5,3.5
83,Jevon Carter,PG,26,BRK,27,1,11.7,0.8,2.8,0.276,0.7,2.2,0.305,0.1,0.6,.176,.395,0.1,0.1,0.75,0.1,1.3,1.5,1.1,0.3,0.3,0.4,1.1,2.3
84,Wendell Carter Jr,C,22,ORL,29,29,29.4,5.0,10.0,0.505,1.3,3.9,0.348,3.7,6.1,.605,.573,1.5,2.1,0.71,2.2,8.0,10.1,2.6,0.7,0.6,1.5,2.6,12.9
85,Alex Caruso,SG,27,CHI,24,7,28.5,2.8,6.3,0.441,1.0,3.0,0.347,1.8,3.3,.525,.523,1.8,2.0,0.857,0.9,2.7,3.6,4.1,2.2,0.4,1.5,2.7,8.4
86,Willie Cauley-Stein,C,28,DAL,18,2,9.8,0.9,1.9,0.457,0.1,0.1,0.5,0.8,1.8,.455,.471,0.1,0.1,0.5,0.7,1.4,2.1,0.5,0.3,0.2,0.4,0.9,1.9
87,Justin Champagnie,SF,20,TOR,14,0,6.8,0.9,1.9,0.444,0.0,0.5,0.0,0.9,1.4,.600,.444,0.5,0.5,1.0,0.9,0.5,1.4,0.1,0.1,0.1,0.0,0.8,2.2
88,Chris Chiozza,PG,26,GSW,11,0,11.3,1.0,2.7,0.367,0.8,2.0,0.409,0.2,0.7,.250,.517,0.1,0.1,1.0,0.5,1.0,1.5,1.6,0.5,0.0,0.8,1.4,2.9
89,Josh Christopher,SG,20,HOU,20,0,11.1,2.0,4.1,0.476,0.6,1.5,0.414,1.4,2.7,.509,.549,0.7,1.0,0.684,0.5,0.9,1.4,1.2,0.6,0.1,1.0,0.9,5.2
90,Gary Clark,F,27,NOP,1,0,3.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Brandon Clarke,PF,25,MEM,19,0,16.0,3.4,5.5,0.61,0.1,0.6,0.091,3.3,4.9,.670,.614,0.9,1.4,0.667,1.7,2.6,4.4,1.4,0.4,0.9,0.4,1.7,7.7
92,Jordan Clarkson,SG,29,UTA,27,0,25.0,5.3,14.0,0.381,2.7,8.7,0.305,2.7,5.3,.507,.476,1.5,1.9,0.82,0.7,2.5,3.1,2.1,0.6,0.2,1.2,1.6,14.9
93,Nicolas Claxton,C,22,BRK,10,5,18.2,2.7,4.4,0.614,0.0,0.0,0.0,2.7,4.4,.614,.614,0.8,1.6,0.5,1.3,3.5,4.8,0.5,0.2,0.8,0.7,2.0,6.2
94,Amir Coffey,SG,24,LAC,17,3,12.5,0.8,2.4,0.341,0.6,1.8,0.333,0.2,0.6,.364,.463,1.1,1.2,0.857,0.2,1.4,1.6,0.6,0.1,0.1,0.3,0.8,3.3
95,John Collins,PF,24,ATL,28,28,32.4,6.5,11.7,0.557,1.3,3.1,0.402,5.3,8.6,.613,.610,2.9,3.6,0.784,1.7,6.1,7.8,2.1,0.7,1.3,1.0,3.0,17.1
96,Mike Conley,PG,34,UTA,25,25,27.8,4.9,10.0,0.49,2.5,5.5,0.457,2.4,4.5,.531,.616,1.2,1.4,0.833,0.4,1.7,2.1,5.4,1.2,0.3,1.8,2.0,13.6
97,Pat Connaughton,SG,29,MIL,30,11,28.9,4.5,8.8,0.506,2.7,6.3,0.434,1.7,2.5,.684,.660,0.8,1.1,0.781,0.8,3.9,4.7,1.3,1.0,0.3,0.7,1.5,12.5
98,Tyler Cook,PF,24,CHI,2,0,8.5,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,.500,.500,1.0,1.0,1.0,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,3.0
99,Sharife Cooper,PG,20,ATL,6,0,2.3,0.3,1.0,0.333,0.0,0.3,0.0,0.3,0.7,.500,.333,0.0,0.0,0.766,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.2,0.7
100,Petr Cornelie,PF,26,DEN,9,0,3.1,0.4,1.3,0.333,0.0,0.7,0.0,0.4,0.7,.667,.333,0.0,0.0,0.766,0.7,0.7,1.3,0.3,0.0,0.0,0.2,0.6,0.9
101,DeMarcus Cousins,C,31,MIL,7,0,12.4,1.3,3.9,0.333,0.4,1.9,0.231,0.9,2.0,.429,.389,1.4,1.7,0.833,0.9,3.1,4.0,1.0,0.7,0.1,1.1,2.4,4.4
102,Robert Covington,PF,31,POR,29,26,27.2,2.4,6.2,0.387,1.5,4.6,0.333,0.9,1.7,.531,.508,0.1,0.1,1.0,0.6,4.2,4.7,1.2,1.2,1.1,1.1,2.4,6.4
103,Torrey Craig,SF,31,IND,27,1,14.8,1.9,4.0,0.481,0.5,2.0,0.264,1.4,2.0,.691,.546,0.6,0.8,0.773,1.1,2.0,3.1,0.9,0.4,0.3,0.6,1.5,5.0
104,Jae Crowder,PF,31,PHO,27,27,28.3,3.3,8.2,0.401,1.9,5.4,0.34,1.4,2.8,.520,.514,1.0,1.3,0.771,0.4,4.4,4.8,1.4,1.2,0.5,0.9,2.4,9.4
105,Jarrett Culver,SG,22,MEM,11,0,9.2,1.9,3.6,0.525,0.3,1.1,0.25,1.6,2.5,.643,.563,0.4,0.7,0.5,0.2,1.4,1.5,1.3,0.5,0.1,0.3,0.4,4.5
106,Cade Cunningham,PG,20,DET,21,21,32.1,5.8,15.2,0.382,2.3,7.2,0.322,3.5,8.0,.437,.459,1.8,2.2,0.826,1.0,5.2,6.2,4.6,1.4,0.6,3.9,2.5,15.8
107,Seth Curry,SG,31,PHI,26,26,34.2,5.8,11.4,0.508,2.1,5.3,0.394,3.7,6.2,.606,.599,2.0,2.3,0.864,0.5,2.5,3.0,2.9,0.8,0.2,1.7,2.4,15.7
108,Stephen Curry,PG,33,GSW,27,27,34.3,8.7,20.3,0.431,5.4,13.4,0.399,3.4,6.8,.495,.564,4.0,4.3,0.923,0.7,4.8,5.5,6.1,1.6,0.5,3.3,1.9,26.9
109,Anthony Davis,C,28,LAL,26,26,36.0,9.5,18.3,0.52,0.4,2.1,0.182,9.1,16.2,.564,.531,4.5,6.2,0.725,2.8,7.4,10.2,3.0,1.2,2.1,2.2,2.3,23.8
110,Ed Davis,C,32,CLE,10,2,9.6,0.9,1.2,0.75,0.0,0.0,0.0,0.9,1.2,.750,.750,0.1,0.4,0.25,0.5,2.7,3.2,0.1,0.2,0.6,0.3,1.2,1.9
111,Terence Davis,SG,24,SAC,20,7,17.3,3.5,8.5,0.414,1.4,4.8,0.295,2.1,3.7,.568,.497,0.8,1.0,0.75,0.3,2.7,3.0,1.0,0.8,0.4,1.3,2.5,9.2
112,Gabriel Deck,PF,26,OKC,6,0,7.5,1.0,2.0,0.5,0.2,0.5,0.333,0.8,1.5,.556,.542,0.0,0.0,0.766,0.2,0.7,0.8,0.5,0.2,0.0,0.3,0.3,2.2
113,Dewayne Dedmon,C,32,MIA,29,11,16.9,2.5,4.3,0.571,0.3,0.5,0.6,2.2,3.8,.568,.607,1.0,1.3,0.789,1.9,4.3,6.2,0.9,0.4,0.4,0.9,2.2,6.3
114,Sam Dekker,PF,27,TOR,1,0,1.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,DeMar DeRozan,PF,32,CHI,24,24,35.3,9.5,19.0,0.498,0.8,2.5,0.333,8.6,16.5,.523,.520,6.6,7.5,0.888,0.6,4.7,5.3,4.1,0.9,0.4,2.0,2.3,26.4
116,Hamidou Diallo,SG,23,DET,19,2,15.7,2.8,5.3,0.525,0.3,1.2,0.273,2.5,4.2,.595,.554,1.1,1.4,0.741,0.9,2.1,3.0,0.8,0.6,0.5,0.6,1.8,6.9
117,Gorgui Dieng,C,32,ATL,23,0,8.3,0.9,2.1,0.438,0.4,1.0,0.375,0.5,1.0,.500,.531,0.5,0.7,0.688,0.9,2.3,3.2,0.7,0.3,0.3,0.6,1.5,2.7
118,Spencer Dinwiddie,PG,28,WAS,25,25,29.5,4.4,11.4,0.387,1.6,5.0,0.328,2.8,6.4,.434,.460,2.3,2.8,0.841,0.7,4.2,4.9,5.1,0.4,0.2,1.6,2.4,12.8
119,Luka Doncic,PG,22,DAL,21,21,35.0,9.5,21.3,0.447,2.7,8.3,0.326,6.8,13.0,.526,.511,3.9,5.5,0.698,0.8,7.2,8.0,8.5,1.0,0.5,4.6,2.5,25.6
120,Luguentz Dort,SF,22,OKC,25,25,32.2,5.8,13.7,0.423,2.5,7.5,0.332,3.3,6.2,.532,.513,2.9,3.4,0.837,0.7,3.1,3.8,1.8,0.8,0.4,1.6,2.8,17.0
121,Ayo Dosunmu,SG,22,CHI,25,2,17.9,2.4,4.8,0.504,0.7,1.6,0.415,1.8,3.2,.550,.574,0.4,0.8,0.579,0.5,1.6,2.1,1.2,0.4,0.2,0.8,1.5,6.0
122,Devon Dotson,PG,22,CHI,5,0,9.6,1.0,2.4,0.417,0.2,1.0,0.2,0.8,1.4,.571,.458,1.0,1.6,0.625,0.2,1.0,1.2,0.8,0.0,0.0,0.2,1.0,3.2
