Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
318,Markieff Morris,PF,32,MIA,10,0,18.7,3.2,7.0,0.457,0.8,2.2,0.364,2.4,4.8,.500,.514,0.5,0.5,1.0,1.3,1.5,2.8,1.4,0.3,0.1,1.2,2.2,7.7
319,Monte Morris,PG,26,DEN,28,28,30.4,5.4,11.1,0.484,1.6,4.4,0.369,3.8,6.7,.559,.556,0.5,0.6,0.722,0.2,2.5,2.7,4.3,0.8,0.2,1.4,1.5,12.8
320,Mychal Mulder,PG,27,ORL,13,1,11.1,1.2,4.1,0.302,0.8,2.8,0.306,0.4,1.3,.294,.406,0.2,0.2,1.0,0.2,1.0,1.2,0.1,0.2,0.1,0.3,0.7,3.5
321,Trey Murphy III,SF,21,NOP,28,0,13.7,1.5,4.0,0.363,1.1,3.0,0.373,0.4,1.1,.333,.500,0.4,0.4,0.833,0.6,1.5,2.2,0.5,0.3,0.1,0.4,1.1,4.4
322,Dejounte Murray,PG,25,SAS,27,27,34.3,7.4,16.9,0.441,1.4,4.0,0.339,6.1,12.9,.473,.481,1.5,2.1,0.702,1.0,7.3,8.3,8.4,1.9,0.4,2.4,2.0,17.7
323,Mike Muscala,C,30,OKC,21,0,14.0,2.7,5.7,0.467,1.7,3.8,0.443,1.0,2.0,.512,.613,1.4,1.7,0.833,0.5,2.7,3.2,0.5,0.3,0.5,0.4,1.2,8.4
324,Svi Mykhailiuk,SF,24,TOR,28,4,17.9,2.5,5.8,0.423,1.1,3.3,0.33,1.4,2.6,.542,.515,0.8,0.9,0.875,0.6,2.0,2.5,1.1,0.7,0.1,0.8,1.4,6.8
325,Abdel Nader,SF,28,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1.0,0.286,0.6,1.5,.381,.400,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
326,Larry Nance Jr,PF,29,POR,29,3,21.2,2.6,4.9,0.517,0.4,1.6,0.277,2.1,3.3,.635,.563,0.8,1.3,0.579,1.5,3.8,5.3,1.7,0.9,0.3,0.8,1.5,6.3
327,RJ Nembhard,SG,22,CLE,2,0,1.5,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.000,1.000,0.0,0.0,0.766,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0
328,Aaron Nesmith,SF,22,BOS,23,0,9.6,1.1,3.1,0.347,0.5,2.1,0.245,0.6,1.0,.565,.431,0.2,0.2,0.8,0.3,1.2,1.5,0.4,0.3,0.0,0.5,1.3,2.9
329,Raul Neto,PG,29,WAS,28,0,19.8,3.0,6.7,0.449,0.4,1.7,0.255,2.6,5.0,.514,.481,1.1,1.6,0.727,0.1,1.9,2.0,2.5,0.8,0.0,1.2,1.5,7.6
330,Georges Niang,PF,28,PHI,28,5,23.6,3.8,8.5,0.441,1.9,5.1,0.38,1.8,3.4,.531,.555,1.0,1.1,0.871,0.2,2.3,2.5,1.5,0.6,0.3,0.8,2.5,10.4
331,Daishen Nix,SG,19,HOU,1,0,2.0,0.0,0.0,0.441,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
332,Zeke Nnaji,PF,21,DEN,16,0,14.8,2.2,4.5,0.486,1.2,2.3,0.528,1.0,2.3,.444,.618,0.9,1.4,0.652,1.1,2.4,3.4,0.4,0.1,0.4,0.4,1.6,6.5
333,Nerlens Noel,C,27,NYK,14,7,23.4,1.4,2.9,0.5,0.0,0.1,0.0,1.4,2.7,.526,.500,0.9,1.1,0.813,2.4,3.6,5.9,0.8,1.1,1.3,0.9,2.6,3.8
